,File_name,length,size_vocabalory,rep_words,ret_words,pause,errors
0,TD-OP10,91,225,6,17,29,0
1,TD-OP9,81,210,23,15,55,0
2,TD-OP8,90,183,10,11,27,0
3,TD-OP7,76,195,21,22,65,0
4,TD-OP6,84,201,17,21,49,0
5,TD-OP5,90,175,9,20,44,0
6,TD-OP4,87,189,49,7,18,0
7,TD-OP3,81,203,21,22,43,0
8,TD-OP2,90,190,8,10,53,0
9,TD-OP1,95,129,14,10,27,0
